,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
280,2013,31,CLE,Allen Crabbe,University of California,6,321,7832,3026,911,374,0.43,0.391,0.848,7832,9.4,2.8,1.2,12.6,0.077,-1.1,1.8
281,2013,32,OKC,Alex Abrines,,3,159,2507,851,223,80,0.38799999999999996,0.37200000000000005,0.875,2507,5.4,1.4,0.5,4.8,0.091,-2.4,-0.3
282,2013,33,CLE,Carrick Felix,Arizona State University,1,7,38,19,6,4,0.5,0.4,0.75,38,2.7,0.9,0.6,0.0,0.057,-4.7,0.0
283,2013,34,HOU,Isaiah Canaan,Murray State University,6,223,4652,1869,426,429,0.371,0.35100000000000003,0.8340000000000001,4652,8.4,1.9,1.9,4.1,0.042,-2.9,-1.0
284,2013,35,PHI,Glen Rice,Georgia Institute of Technology,2,16,152,43,24,9,0.26899999999999996,0.25,0.6920000000000001,152,2.7,1.5,0.6,-0.2,-0.065,-7.3,-0.2
285,2013,36,SAC,Ray McCallum,University of Detroit Mercy,3,154,2808,920,306,368,0.408,0.335,0.711,2808,6.0,2.0,2.4,2.1,0.035,-2.8,-0.6
286,2013,37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,0.41700000000000004,1.0,0.579,79,1.0,1.2,0.1,0.2,0.151,1.3,0.1
287,2013,38,WAS,Nate Wolters,South Dakota State University,3,84,1575,461,185,209,0.423,0.261,0.635,1575,5.5,2.2,2.5,0.9,0.027999999999999997,-4.0,-0.8
288,2013,39,POR,Jeff Withey,University of Kansas,5,206,2072,666,518,64,0.525,0.14300000000000002,0.716,2072,3.2,2.5,0.3,6.8,0.157,0.6,1.4
289,2013,40,POR,Grant Jerrett,University of Arizona,1,8,51,16,9,3,0.26899999999999996,0.067,1.0,51,2.0,1.1,0.4,-0.1,-0.128,-8.4,-0.1
290,2013,41,MEM,Jamaal Franklin,San Diego State University,2,24,174,42,25,9,0.415,0.462,1.0,174,1.8,1.0,0.4,0.0,-0.006,-5.4,-0.1
291,2013,42,PHI,Pierre Jackson,Baylor University,1,8,84,35,9,19,0.33299999999999996,0.273,0.857,84,4.4,1.1,2.4,0.0,0.021,-4.4,-0.1
292,2013,43,MIL,Ricky Ledo,Providence College,2,28,277,109,38,21,0.336,0.371,0.769,277,3.9,1.4,0.8,-0.6,-0.096,-7.8,-0.4
293,2013,44,DAL,Mike Muscala,Bucknell University,6,259,3945,1430,823,233,0.48100000000000004,0.369,0.843,3945,5.5,3.2,0.9,10.0,0.122,0.1,2.1
294,2013,45,POR,Marko Todorovic,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,2013,46,UTA,Erick Green,Virginia Polytechnic Institute and State University,2,52,452,159,37,42,0.377,0.28800000000000003,0.857,452,3.1,0.7,0.8,0.1,0.011000000000000001,-5.1,-0.3
296,2013,47,ATL,Raul Neto,,4,166,2389,776,203,293,0.439,0.384,0.763,2389,4.7,1.2,1.8,3.4,0.069,-2.2,-0.1
297,2013,48,LAL,Ryan Kelly,Duke University,4,163,3125,981,504,215,0.37799999999999995,0.316,0.797,3125,6.0,3.1,1.3,3.0,0.046,-2.2,-0.2
298,2013,49,CHI,Erik Murphy,University of Florida,1,24,62,6,8,2,0.231,0.0,0.0,62,0.3,0.3,0.1,-0.1,-0.055,-8.1,-0.1
299,2013,50,ATL,James Ennis,"California State University, Long Beach",5,236,4900,1544,739,215,0.455,0.36200000000000004,0.802,4900,6.5,3.1,0.9,9.8,0.096,-0.5,1.8
300,2013,51,ORL,Romero Osby,University of Oklahoma,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,2013,52,MIN,Lorenzo Brown,North Carolina State University,5,91,1108,279,138,170,0.375,0.17,0.7,1108,3.1,1.5,1.9,-0.1,-0.005,-4.0,-0.5
302,2013,53,IND,Colton Iverson,Colorado State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,2013,54,WAS,Arsalan Kazemi,University of Oregon,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,2013,55,MEM,Joffrey Lauvergne,,4,208,2823,1159,789,180,0.479,0.285,0.7190000000000001,2823,5.6,3.8,0.9,5.2,0.08900000000000001,-2.6,-0.4
305,2013,56,DET,Peyton Siva,University of Louisville,1,24,224,54,14,34,0.316,0.28,0.733,224,2.3,0.6,1.4,-0.2,-0.032,-7.3,-0.3
306,2013,57,PHO,Alex Oriakhi,University of Missouri,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,2013,58,SAS,Deshaun Thomas,Ohio State University,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,2013,59,MIN,Bojan Dubljevic,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,2013,60,MEM,Janis Timma,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,2014,1,CLE,Andrew Wiggins,University of Kansas,5,344,12399,6706,1414,723,0.444,0.332,0.741,12399,19.5,4.1,2.1,12.3,0.048,-2.4,-1.4
311,2014,2,MIL,Jabari Parker,Duke University,5,204,6291,3136,1150,423,0.486,0.34299999999999997,0.747,6291,15.4,5.6,2.1,10.3,0.078,-1.6,0.7
312,2014,3,PHI,Joel Embiid,University of Kansas,3,116,3463,2690,1225,343,0.47700000000000004,0.324,0.782,3463,23.2,10.6,3.0,11.2,0.155,3.0,4.3
313,2014,4,ORL,Aaron Gordon,University of Arizona,5,283,7509,3324,1684,498,0.45299999999999996,0.314,0.698,7509,11.7,6.0,1.8,14.2,0.091,0.0,3.9
314,2014,5,UTA,Dante Exum,,4,183,3646,1066,329,397,0.39299999999999996,0.303,0.755,3646,5.8,1.8,2.2,1.8,0.024,-3.3,-1.2
315,2014,6,BOS,Marcus Smart,Oklahoma State University,5,282,7992,2601,1027,1098,0.361,0.295,0.757,7992,9.2,3.6,3.9,12.0,0.07200000000000001,0.3,4.5
316,2014,7,LAL,Julius Randle,University of Kentucky,5,259,7174,3595,2304,679,0.498,0.265,0.718,7174,13.9,8.9,2.6,13.7,0.092,-0.7,2.4
317,2014,8,SAC,Nik Stauskas,University of Michigan,5,287,5988,2011,599,467,0.389,0.35100000000000003,0.807,5988,7.0,2.1,1.6,3.3,0.026000000000000002,-3.1,-1.7
318,2014,9,CHH,Noah Vonleh,Indiana University,5,252,4102,1132,1265,136,0.449,0.32,0.6809999999999999,4102,4.5,5.0,0.5,6.6,0.077,-3.1,-1.1
319,2014,10,PHI,Elfrid Payton,University of Louisiana at Lafayette,5,306,9006,3410,1302,1955,0.457,0.301,0.62,9006,11.1,4.3,6.4,12.0,0.064,-0.3,3.9
320,2014,11,DEN,Doug McDermott,Creighton University,5,284,5799,2224,641,218,0.45399999999999996,0.40299999999999997,0.8240000000000001,5799,7.8,2.3,0.8,8.7,0.07200000000000001,-3.1,-1.6
321,2014,12,ORL,Dario Saric,,3,179,4998,2400,1161,418,0.42700000000000005,0.348,0.83,4998,13.4,6.5,2.3,8.0,0.077,-0.6,1.7
322,2014,13,MIN,Zach LaVine,"University of California, Los Angeles",5,250,7322,3731,804,828,0.43700000000000006,0.365,0.8270000000000001,7322,14.9,3.2,3.3,5.6,0.037000000000000005,-2.0,0.0
323,2014,14,PHO,T.J. Warren,North Carolina State University,5,236,6400,3296,978,253,0.501,0.317,0.765,6400,14.0,4.1,1.1,12.1,0.091,-1.1,1.4
324,2014,15,ATL,Adreian Payne,Michigan State University,4,107,1403,429,315,66,0.406,0.254,0.68,1403,4.0,2.9,0.6,-0.6,-0.019,-5.5,-1.2
325,2014,16,CHI,Jusuf Nurkic,,5,258,5638,2784,1939,398,0.489,0.063,0.629,5638,10.8,7.5,1.5,10.7,0.091,0.3,3.2
326,2014,17,BOS,James Young,University of Kentucky,4,95,812,219,96,28,0.36700000000000005,0.27699999999999997,0.563,812,2.3,1.0,0.3,0.8,0.046,-4.0,-0.4
327,2014,18,PHO,Tyler Ennis,Syracuse University,4,186,2336,779,250,359,0.419,0.317,0.768,2336,4.2,1.3,1.9,1.3,0.026000000000000002,-4.6,-1.5
328,2014,19,CHI,Gary Harris,Michigan State University,5,274,7877,3460,702,591,0.466,0.36700000000000005,0.802,7877,12.6,2.6,2.2,15.0,0.091,0.3,4.6
329,2014,20,TOR,Bruno Caboclo,,4,35,213,53,36,9,0.282,0.242,0.833,213,1.5,1.0,0.3,-0.4,-0.08,-6.7,-0.3
