,Unnamed: 0,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Weight,Body Fat,Hand (Length),Hand (Width),drafted,athletic
166,166,Jared Cunningham,2012,24.0,75.5,77.0,78.5,98.0,188.0,3.6,8.25,9.0,1,0
167,167,Tony Wroten,2012,25.0,76.75,78.0,81.0,101.0,203.0,5.2,8.0,9.0,1,1
168,168,Miles Plumlee,2012,26.0,82.5,83.75,84.75,105.5,252.0,11.4,9.25,9.0,1,1
169,169,Arnett Moultrie,2012,27.0,81.5,82.75,86.25,106.5,233.0,7.7,9.25,9.25,1,1
170,170,Perry Jones,2012,28.0,82.25,83.25,85.75,107.0,234.0,4.6,9.25,9.5,1,1
171,171,Marquis Teague,2012,29.0,73.0,74.0,79.25,96.5,180.0,6.3,8.25,7.75,1,1
172,172,Bradley Beal,2012,3.0,75.25,76.75,80.0,100.0,202.0,6.0,8.5,9.0,1,1
173,173,Festus Ezeli,2012,30.0,81.75,83.5,89.75,108.0,264.0,5.5,9.0,10.75,1,1
174,174,Jeff Taylor,2012,31.0,78.0,79.25,78.25,101.5,213.0,4.2,8.25,9.75,1,1
175,175,Tomas Satoransky,2012,32.0,78.5,79.5,79.25,100.0,201.0,5.2,8.5,9.5,1,0
176,176,Bernard James,2012,33.0,80.75,82.0,87.0,108.5,230.0,5.0,9.0,9.25,1,1
177,177,Jae Crowder,2012,34.0,76.75,78.5,81.25,99.5,241.0,9.0,9.5,10.5,1,1
178,178,Draymond Green,2012,35.0,77.75,79.5,85.25,105.0,236.0,11.3,9.0,9.5,1,1
179,179,Orlando Johnson,2012,36.0,75.75,77.25,83.25,99.0,224.0,7.0,9.0,9.5,1,1
180,180,Quincy Acy,2012,37.0,78.5,79.75,86.75,106.5,224.0,7.1,9.5,11.0,1,1
181,181,Quincy Miller,2012,38.0,80.75,82.0,85.25,105.0,219.0,7.8,9.25,10.25,1,1
182,182,Khris Middleton,2012,39.0,78.75,80.25,82.75,103.0,216.0,7.8,9.0,9.0,1,1
183,183,Dion Waiters,2012,4.0,74.5,76.0,79.25,98.0,221.0,8.5,8.5,9.5,1,0
184,184,Will Barton,2012,40.0,77.0,78.0,81.75,102.5,174.0,4.1,9.0,9.5,1,1
185,185,Tyshawn Taylor,2012,41.0,74.75,76.0,78.25,97.5,177.0,4.2,8.75,8.75,1,1
186,186,Doron Lamb,2012,42.0,75.25,76.75,78.75,98.5,199.0,6.7,8.5,8.75,1,1
187,187,Mike Scott,2012,43.0,79.25,80.75,82.75,104.0,241.0,10.6,8.5,9.0,1,1
188,188,Kim English,2012,44.0,76.5,77.75,78.5,98.0,192.0,4.3,8.5,8.75,1,1
189,189,Darius Miller,2012,46.0,78.0,79.5,81.0,101.0,233.0,7.5,8.5,8.75,1,1
190,190,Kevin Murphy,2012,47.0,77.0,78.25,78.75,99.0,194.0,5.8,8.5,8.5,1,1
191,191,Kyle O'Quinn,2012,49.0,80.5,82.0,88.75,106.5,241.0,8.0,9.5,10.0,1,1
192,192,Thomas Robinson,2012,5.0,79.75,80.75,87.25,106.0,244.0,5.0,9.75,10.5,1,1
193,193,Kris Joseph,2012,51.0,78.0,79.0,83.0,104.0,215.0,8.6,9.0,9.0,1,0
194,194,Darius Johnson-Odom,2012,55.0,73.5,75.0,79.0,96.0,212.0,7.0,8.75,8.75,1,1
195,195,Robbie Hummel,2012,58.0,79.25,80.5,80.5,102.0,218.0,9.4,8.5,9.5,1,1
196,196,Marcus Denmon,2012,59.0,74.25,75.25,77.0,94.5,188.0,6.6,8.25,9.75,1,1
197,197,Damian Lillard,2012,6.0,73.75,74.75,79.75,95.5,189.0,5.9,8.75,9.75,1,1
198,198,Harrison Barnes,2012,7.0,79.0,80.0,83.25,101.5,228.0,9.6,9.0,8.5,1,1
199,199,Terrence Ross,2012,8.0,78.0,79.0,79.25,100.5,197.0,3.2,8.75,10.25,1,1
200,200,Andre Drummond,2012,9.0,81.75,83.75,90.25,109.5,279.0,7.5,9.5,9.5,1,1
201,201,Drew Gordon,2012,99.0,80.0,80.75,83.5,103.5,239.0,9.1,8.5,9.75,0,1
202,202,Henry Sims,2012,99.0,82.0,83.75,88.0,108.0,241.0,7.7,9.25,10.0,0,1
203,203,Hollis Thompson,2012,99.0,78.75,80.0,81.5,102.5,206.0,6.0,8.25,9.75,0,1
204,204,J'Covan Brown,2012,99.0,73.0,74.25,77.25,96.0,202.0,12.5,7.75,8.25,0,1
205,205,JaMychal Green,2012,99.0,80.0,81.0,86.25,106.5,217.0,9.8,9.25,9.25,0,1
206,206,Jordan Taylor,2012,99.0,73.0,74.0,75.0,92.5,193.0,5.5,8.25,9.5,0,1
207,207,Kevin Jones,2012,99.0,78.25,79.5,85.5,105.0,251.0,11.2,9.0,7.75,0,1
208,208,Scott Machado,2012,99.0,73.0,74.0,76.0,94.5,206.0,5.8,8.5,9.5,0,1
209,209,Tony Mitchell (Alabama),2012,99.0,77.25,78.25,82.0,100.0,216.0,5.7,8.5,10.0,0,1
210,210,Tu Holloway,2012,99.0,70.5,71.75,77.5,94.5,187.0,8.5,8.75,10.0,0,1
211,211,William Buford,2012,99.0,76.0,77.0,81.5,102.0,215.0,11.3,8.75,10.0,0,1
212,212,C.J. McCollum,2013,10.0,74.25,75.25,78.25,96.5,197.0,8.6,8.0,9.5,1,1
213,213,Michael Carter-Williams,2013,11.0,76.75,77.75,79.25,101.0,184.0,4.4,7.5,8.5,1,1
214,214,Steven Adams,2013,12.0,82.75,84.0,88.5,109.5,255.0,6.7,9.5,11.0,1,1
215,215,Kelly Olynyk,2013,13.0,82.75,84.0,81.75,108.0,234.0,6.7,8.5,10.0,1,1
216,216,Shabazz Muhammad,2013,14.0,76.75,78.25,83.0,104.5,222.0,9.0,9.0,10.0,1,1
217,217,Dennis Schroeder,2013,17.0,73.0,74.0,79.75,98.0,165.0,4.1,8.75,10.5,1,1
218,218,Shane Larkin,2013,18.0,70.25,71.5,70.75,89.5,171.0,3.8,7.5,8.75,1,1
219,219,Victor Oladipo,2013,2.0,75.25,76.25,81.25,100.5,213.0,6.6,8.75,9.25,1,1
220,220,Tony Snell,2013,20.0,78.0,79.25,83.5,105.5,198.0,4.9,9.0,9.5,1,1
221,221,Gorgui Dieng,2013,21.0,81.75,82.75,87.5,111.5,230.0,5.4,9.0,10.0,1,0
222,222,Mason Plumlee,2013,22.0,83.25,84.5,83.0,108.0,238.0,6.2,9.75,9.5,1,1
223,223,Solomon Hill,2013,23.0,77.5,79.0,81.0,103.0,226.0,7.6,9.0,10.5,1,1
224,224,Tim Hardaway Jr,2013,24.0,76.5,78.25,79.0,101.0,199.0,6.1,8.0,9.25,1,1
225,225,Reggie Bullock,2013,25.0,77.75,79.0,80.75,102.0,200.0,7.0,8.5,9.0,1,1
226,226,Andre Roberson,2013,26.0,78.25,79.0,83.0,104.5,206.0,7.1,8.75,9.5,1,1
227,227,Rudy Gobert,2013,27.0,84.5,86.0,92.5,115.0,238.0,4.4,9.75,10.0,1,1
228,228,Archie Goodwin,2013,29.0,75.75,77.25,81.5,102.0,189.0,4.6,8.5,9.0,1,1
229,229,Otto Porter,2013,3.0,79.5,80.5,85.5,105.5,198.0,6.7,8.75,9.25,1,1
230,230,Allen Crabbe,2013,31.0,77.25,78.25,83.25,103.5,197.0,4.7,8.25,8.5,1,1
231,231,Carrick Felix,2013,33.0,76.75,78.25,81.25,103.5,203.0,3.3,8.5,9.5,1,1
232,232,Isaiah Canaan,2013,34.0,71.0,72.0,76.5,94.5,188.0,5.9,8.25,9.5,1,1
233,233,Glen Rice,2013,35.0,76.5,77.75,81.25,101.5,211.0,8.5,8.5,9.0,1,1
234,234,Ray McCallum,2013,36.0,72.25,73.75,75.25,96.5,191.0,7.3,8.0,8.75,1,1
235,235,Tony Mitchell,2013,37.0,79.5,80.75,86.5,106.5,236.0,5.6,9.0,10.0,1,1
236,236,Nate Wolters,2013,38.0,75.5,76.75,75.75,98.0,196.0,5.5,8.25,8.75,1,0
237,237,Jeff Withey,2013,39.0,82.75,84.5,86.0,110.5,222.0,8.7,9.0,9.75,1,1
238,238,Cody Zeller,2013,4.0,82.75,84.25,82.75,106.0,230.0,4.8,8.5,10.5,1,1
239,239,Grant Jerrett,2013,40.0,80.75,82.25,86.0,109.0,232.0,10.1,8.5,9.25,1,1
240,240,Jamaal Franklin,2013,41.0,76.0,77.25,83.25,103.5,191.0,8.3,8.5,8.25,1,0
241,241,Pierre Jackson,2013,42.0,69.5,70.5,70.0,90.0,176.0,4.5,7.5,8.25,1,0
242,242,Ricky Ledo,2013,43.0,76.75,78.0,79.25,102.5,197.0,10.3,8.5,9.25,1,1
243,243,Mike Muscala,2013,44.0,82.25,83.5,85.0,108.0,230.0,6.8,8.5,9.0,1,1
