Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Agility,Sprint,drafted
Kelly Olynyk,2013,13,82.75,84,81.75,108,29.5,137.5,24.5,132.5,234,6.7,8.5,10,11.42,3.59,1
Shabazz Muhammad,2013,14,76.75,78.25,83,104.5,37,141.5,29.5,134,222,9,9,10,10.99,3.32,1
Dennis Schroeder,2013,17,73,74,79.75,98,34,132,30,128,165,4.1,8.75,10.5,11.09,3.21,1
Shane Larkin,2013,18,70.25,71.5,70.75,89.5,44,133.5,34.5,124,171,3.8,7.5,8.75,10.64,3.08,1
Victor Oladipo,2013,2,75.25,76.25,81.25,100.5,42,142.5,33,133.5,213,6.6,8.75,9.25,10.69,3.25,1
Tony Snell,2013,20,78,79.25,83.5,105.5,36.5,142,30,135.5,198,4.9,9,9.5,10.36,3.25,1
Mason Plumlee,2013,22,83.25,84.5,83,108,36,144,30.5,138.5,238,6.2,9.75,9.5,10.89,3.29,1
Solomon Hill,2013,23,77.5,79,81,103,37.5,140.5,29.5,132.5,226,7.6,9,10.5,10.77,3.19,1
Tim Hardaway Jr,2013,24,76.5,78.25,79,101,37.5,138.5,31.5,132.5,199,6.1,8,9.25,10.68,3.25,1
Reggie Bullock,2013,25,77.75,79,80.75,102,36.5,138.5,31,133,200,7,8.5,9,11.33,3.31,1
Andre Roberson,2013,26,78.25,79,83,104.5,36.5,141,30,134.5,206,7.1,8.75,9.5,11.36,3.34,1
Rudy Gobert,2013,27,84.5,86,92.5,115,29,144,25,140,238,4.4,9.75,10,12.85,3.57,1
Archie Goodwin,2013,29,75.75,77.25,81.5,102,36,138,30,132,189,4.6,8.5,9,10.75,3.27,1
Otto Porter,2013,3,79.5,80.5,85.5,105.5,36,141.5,27,132.5,198,6.7,8.75,9.25,11.25,3.4,1
Allen Crabbe,2013,31,77.25,78.25,83.25,103.5,36,139.5,30.5,134,197,4.7,8.25,8.5,10.67,3.32,1
Carrick Felix,2013,33,76.75,78.25,81.25,103.5,38.5,142,32,135.5,203,3.3,8.5,9.5,11.16,3.25,1
Isaiah Canaan,2013,34,71,72,76.5,94.5,40.5,135,33,127.5,188,5.9,8.25,9.5,10.98,3.22,1
Glen Rice,2013,35,76.5,77.75,81.25,101.5,40.5,142,33,134.5,211,8.5,8.5,9,10.99,3.25,1
Ray McCallum,2013,36,72.25,73.75,75.25,96.5,40,136.5,30.5,127,191,7.3,8,8.75,10.82,3.25,1
Tony Mitchell,2013,37,79.5,80.75,86.5,106.5,38,144.5,33.5,140,236,5.6,9,10,11.82,3.52,1
Jeff Withey,2013,39,82.75,84.5,86,110.5,29,139.5,26.5,137,222,8.7,9,9.75,12.49,3.47,1
