Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Weight,Body Fat,Hand (Length),Hand (Width),drafted,athletic
Aaron Gordon,2014,4,79.5,80.75,83.75,105,220,5.1,8.75,10.5,1,1
Glenn Robinson,2014,40,77.5,78.75,82,100.5,211,5.1,9,9.5,1,1
Nick Johnson,2014,42,73.5,75,79.25,96.5,198,6.1,8.75,9.75,1,1
Markel Brown,2014,44,74.5,75.5,80.75,100,184,4.2,8.25,9.75,1,1
Dwight Powell,2014,45,81.5,83,84.5,105,234,6.2,9,9.25,1,1
Jordan Clarkson,2014,46,75.25,77,80,98,186,4.3,8.25,9,1,1
Russ Smith,2014,47,71.5,72.75,75.5,95,160,3.5,8.25,8.5,1,1
Lamar Patterson,2014,48,76,77.25,83,101,226,10.8,9,9.25,1,1
Cameron Bairstow,2014,49,80.75,81.75,84.75,107,252,8.7,8.75,9,1,1
Dante Exum,2014,5,76.5,78,81.5,103,196,6.4,8.5,9.5,1,1
Alec Brown,2014,50,84.25,85.25,85.5,109,231,7.7,9.25,8.75,1,1
Thanasis Antetokounmpo,2014,51,77.25,78.25,84,104.5,205,6.1,9,9.75,1,1
Semaj Christon,2014,55,73.5,75.25,78.5,99,186,5.3,8.5,8.25,1,1
Devyn Marble,2014,56,77,78.5,81,102,192,6.9,8.25,8.5,1,1
Jordan McRae,2014,58,75.75,77.25,84.5,104,179,5.2,8.75,8.5,1,1
Xavier Thames,2014,59,74.25,75.5,76,96,187,6.4,8.25,9,1,1
